===================Title===================
List of cities and towns in Romania
===================Table===================
|     | City                   | County             | Population (2011)   | Population (2002)   |   Altitude (m) | Year status\ngranted* or\nfirst attested†   |
|----:|:-----------------------|:-------------------|:--------------------|:--------------------|---------------:|:--------------------------------------------|
|   0 | Bucharest              | -                  | 1,883,425           | 1,926,334           |             85 | 1459†                                       |
|   1 | Cluj-Napoca            | Cluj               | 324,576             | 317,953             |            360 | 1316*                                       |
|   2 | Timișoara             | Timiș             | 319,279             | 317,660             |             90 | 1342*                                       |
|   3 | Iași                  | Iași              | 290,422             | 320,888             |             95 | 1408†                                       |
|   4 | Constanța             | Constanța         | 283,872             | 310,471             |             25 | 260 BC†                                     |
|   5 | Craiova                | Dolj               | 269,506             | 302,601             |            100 | 1475†                                       |
|   6 | Brașov                | Brașov            | 253,200             | 284,596             |            625 | 1235†                                       |
|   7 | Galați                | Galați            | 249,432             | 298,861             |             55 | 1445†                                       |
|   8 | Ploiești              | Prahova            | 209,945             | 232,527             |            150 | 1596†                                       |
|   9 | Oradea                 | Bihor              | 196,367             | 206,614             |            150 | 1113†                                       |
|  10 | Brăila                | Brăila            | 180,302             | 216,292             |             20 | 1368†                                       |
|  11 | Arad                   | Arad               | 159,074             | 172,824             |            107 | 1028†                                       |
|  12 | Pitești               | Argeș             | 155,383             | 168,458             |            287 | 1388†                                       |
|  13 | Sibiu                  | Sibiu              | 147,245             | 154,892             |            415 | 1366†                                       |
|  14 | Bacău                 | Bacău             | 144,307             | 175,500             |            165 | 1408†                                       |
|  15 | Târgu Mureș          | Mureș             | 134,290             | 149,577             |            330 | 1332*                                       |
|  16 | Baia Mare              | Maramureș         | 123,738             | 137,976             |            225 | 1329†                                       |
|  17 | Buzău                 | Buzău             | 115,494             | 133,116             |             95 | 1431†                                       |
|  18 | Botoșani              | Botoșani          | 106,847             | 115,344             |            130 | 1439†                                       |
|  19 | Satu Mare              | Satu Mare          | 102,411             | 115,630             |            123 | 1213†                                       |
|  20 | Râmnicu Vâlcea       | Vâlcea            | 98,776              | 107,656             |            250 | 1388†                                       |
|  21 | Drobeta-Turnu Severin  | Mehedinți         | 92,617              | 104,035             |             65 | 121 AD†/1833*                               |
|  22 | Suceava                | Suceava            | 92,121              | 106,138             |            325 | 1388†                                       |
|  23 | Piatra Neamț          | Neamț             | 85,055              | 105,499             |            345 | 1491†                                       |
|  24 | Târgu Jiu             | Gorj               | 82,504              | 96,562              |            205 | nan                                         |
|  25 | Târgoviște           | Dâmbovița        | 79,610              | 89,429              |            280 | nan                                         |
|  26 | Focșani               | Vrancea            | 79,315              | 103,219             |             55 | 1575†                                       |
|  27 | Bistrița              | Bistrița-Năsăud | 75,076              | 81,467              |            360 | 1349*                                       |
|  28 | Tulcea                 | Tulcea             | 73,707              | 92,762              |             30 | nan                                         |
|  29 | Reșița               | Caraș-Severin     | 73,282              | 83,985              |            245 | 1925*                                       |
|  30 | Slatina                | Olt                | 70,293              | 79,171              |            135 | 1368†                                       |
|  31 | Călărași            | Călărași        | 65,181              | 70,039              |             13 | 1534†                                       |
|  32 | Alba Iulia             | Alba               | 63,536              | 66,369              |            330 | 1097†                                       |
|  33 | Giurgiu                | Giurgiu            | 61,353              | 69,587              |            nan | 1395†                                       |
|  34 | Deva                   | Hunedoara          | 61,123              | 69,390              |            nan | 1269†                                       |
|  35 | Hunedoara              | Hunedoara          | 60,525              | 71,380              |            240 | nan                                         |
