===================Title===================
List of Metrobus routes (Washington, D.C.)
===================Table===================
|    | Route                         | Name                                        | Fare Type    | Terminals                                                                                                                            | Terminals .1                                                                                                             | Major streets                                                                                                                                              | Notes                                                                                                                                                                                                                                                                                                           | History                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|---:|:------------------------------|:--------------------------------------------|:-------------|:-------------------------------------------------------------------------------------------------------------------------------------|:-------------------------------------------------------------------------------------------------------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|  0 | 31                            | Wisconsin Avenue Line                       | Local        | Friendship Heights station                                                                                                           | Potomac Park (Virginia Av & 21st St NW)                                                                                  | Wisconsin Avenue NW                                                                                                                                        | nan                                                                                                                                                                                                                                                                                                             | 31 replaces the Wisconsin Avenue portion of the old 30 (see Pennsylvania Avenue Line)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|  1 | 32, 36                        | Pennsylvania Avenue Line                    | Local        | Friendship Heights station                                                                                                           | 32 Southern Avenue station\n36 Naylor Road station                                                                       | Wisconsin Avenue NW\nPennsylvania Avenue SE/NW\nBranch Avenue SE (36)\nAlabama Avenue SE (32)                                                              | Some weekday 32 and 36 trips terminate at:\n\nFarragut Square\nFoggy Bottom – GWU station                                                                                                                                                                                                                       | 36 replaces a portion of the old 35 (see Pennsylvania Avenue Line)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  2 | 34                            | Naylor Rd Line                              | Local        | Archives (10th St & Pennsylvania Av NW)                                                                                              | Naylor Road station                                                                                                      | Pennsylvania Avenue SE\nIndependence Avenue SE/SW\nNaylor Road SE                                                                                          | nan                                                                                                                                                                                                                                                                                                             | 34 operated to Friendship Heights station until replaced by the M5, which operated from Naylor Road station to Eastern Market station in 2007; 34 replaced the M5 in 2008 with the extension to the Archives station, also see Pennsylvania Avenue Line                                                                                                                                                                                                                                                                                                                                                                      |
|  3 | 37                            | Wisconsin Avenue Metro Extra Line           | Limited Stop | Friendship Heights station                                                                                                           | Archives station (AM End)\nFederal Triangle (10th St & Pennsylvania Av NW) (PM Start)                                    | Wisconsin Avenue NW\nMassachusetts Avenue NW\nPennsylvania Avenue NW                                                                                       | Weekday peak hour service only (AM to Archives, PM to Friendship Heights)\nLimited Stops Only                                                                                                                                                                                                                   | A prior "incarnation" of the 37 was once known as the Wisconsin Avenue Express Line, running from Tenleytown-AU station to Archives until the early 1990s                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|  4 | 39                            | Pennsylvania Avenue Metro Extra Line        | Limited Stop | Naylor Road station                                                                                                                  | Potomac Park (Virginia Av & 21st St NW)                                                                                  | Pennsylvania Avenue SE/NW                                                                                                                                  | Weekday peak hour service only\nAM to Potomac Park, PM to Naylor Road\nLimited Stops Only                                                                                                                                                                                                                       | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|  5 | 42, 43                        | Mount Pleasant Line                         | Local        | Mount Pleasant (Mount Pleasant & Lamont Streets NW)                                                                                  | 42 Gallery Place station\n43 Farragut Square (AM End)\n43 McPherson Square station (Franklin Square Entrance) (PM Start) | 42 Mount Pleasant Street NW, Columbia Road NW, Connecticut Avenue NW, H/I Streets NW\n43 Mount Pleasant Street NW, Columbia Road NW, Connecticut Avenue NW | 42 serves Dupont Circle station\n\nsome peak hour trips terminate at Farragut Square\n\n\n43: weekday peak hour service only\n\nTravels underneath Dupont Circle via the Connecticut Avenue underpass)                                                                                                          | See Mount Pleasant Line                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|  6 | 52, 53, 54                    | 14th Street Line                            | Local        | Takoma station\n14th Street & Colorado Ave NW                                                                                        | 52, 54 L'Enfant Plaza Metrorail Station (7th & D Streets SW)\n53 McPherson Square station (Franklin Square Entrance)     | 14th Street NW\nPennsylvania Avenue NW (54)\nIndependence Avenue SW (52)                                                                                   | 52 and 54: daily\n53: Monday-Saturday only                                                                                                                                                                                                                                                                      | 52 & 54 originally terminated at Navy Yard until the mid-1990s, when the 52 was truncated to L'Enfant Plaza station & 54 to Federal Triangle. 54 was later extended to L'Enfant Plaza station.\nThe 53 was introduced several years after the former route 50 was discontinued, operating at first to Bureau Of Engraving before being shortened to Federal Triangle and now to Franklin Square.\nAlso see 14th Street Line                                                                                                                                                                                                  |
|  7 | 62, 63                        | Takoma-Petworth Line                        | Local        | Takoma station                                                                                                                       | 62 Georgia Avenue – Petworth station\n63 Federal Triangle (10th St & Constitution Av NW)                                 | 5th Street NW, Kansas Avenue NW, Sherman Avenue NW (63)\n13th Street NW (63)                                                                               | 63: weekday peak & early weekend AM hours only                                                                                                                                                                                                                                                                  | 63 operates through the portion of the 62 that operated to Federal Triangle until Georgia Avenue – Petworth station opened in 1999; it also replaces the 68, which operated from Georgia Avenue – Petworth station to Federal Triangle from 2001–2009                                                                                                                                                                                                                                                                                                                                                                        |
|  8 | 60, 64                        | Fort Totten-Petworth Line                   | Local        | Fort Totten station                                                                                                                  | 60 Georgia Avenue – Petworth station\n64 Federal Triangle (10th St & Constitution Av NW)                                 | Rock Creek Church Rd NW (60)\nUpshur Street NW (60)\nNew Hampshire Avenue NW (64)\n11th Street NW (64)                                                     | 60: Monday-Friday service only                                                                                                                                                                                                                                                                                  | 64 was replaced by the 66 south of Georgia Avenue – Petworth station when it opened in 1999; it replaced the 66 in 2009\n64 also runs on the old 11th Street Streetcar Line.                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
