===================Title===================
List of XML and HTML character entity references
===================Table===================
|     | Name     | Character   | Unicode code point (decimal)   | Standard   | DTD         | Old ISO subset   | Description                                                             |
|----:|:---------|:------------|:-------------------------------|:-----------|:------------|:-----------------|:------------------------------------------------------------------------|
|   0 | quot     | "           | U+0022 (34)                    | HTML 2.0   | HTMLspecial | ISOnum           | quotation mark (APL quote)                                              |
|   1 | amp      | &           | U+0026 (38)                    | HTML 2.0   | HTMLspecial | ISOnum           | ampersand                                                               |
|   2 | apos     | '           | U+0027 (39)                    | XHTML 1.0  | HTMLspecial | ISOnum           | apostrophe (apostrophe-quote); see below                                |
|   3 | lt       | <           | U+003C (60)                    | HTML 2.0   | HTMLspecial | ISOnum           | less-than sign                                                          |
|   4 | gt       | >           | U+003E (62)                    | HTML 2.0   | HTMLspecial | ISOnum           | greater-than sign                                                       |
|   5 | nbsp     | nan         | U+00A0 (160)                   | HTML 3.2   | HTMLlat1    | ISOnum           | no-break space (non-breaking space)                                     |
|   6 | iexcl    | ¡           | U+00A1 (161)                   | HTML 3.2   | HTMLlat1    | ISOnum           | inverted exclamation mark                                               |
|   7 | cent     | ¢           | U+00A2 (162)                   | HTML 3.2   | HTMLlat1    | ISOnum           | cent sign                                                               |
|   8 | pound    | £           | U+00A3 (163)                   | HTML 3.2   | HTMLlat1    | ISOnum           | pound sign                                                              |
|   9 | curren   | ¤           | U+00A4 (164)                   | HTML 3.2   | HTMLlat1    | ISOnum           | currency sign                                                           |
|  10 | yen      | ¥           | U+00A5 (165)                   | HTML 3.2   | HTMLlat1    | ISOnum           | yen sign (yuan sign)                                                    |
|  11 | brvbar   | ¦           | U+00A6 (166)                   | HTML 3.2   | HTMLlat1    | ISOnum           | broken bar (broken vertical bar)                                        |
|  12 | sect     | §           | U+00A7 (167)                   | HTML 3.2   | HTMLlat1    | ISOnum           | section sign                                                            |
|  13 | uml      | ̈           | U+00A8 (168)                   | HTML 3.2   | HTMLlat1    | ISOdia           | diaeresis (spacing diaeresis); see Germanic umlaut                      |
|  14 | copy     | ©           | U+00A9 (169)                   | HTML 3.2   | HTMLlat1    | ISOnum           | copyright symbol                                                        |
|  15 | ordf     | a           | U+00AA (170)                   | HTML 3.2   | HTMLlat1    | ISOnum           | feminine ordinal indicator                                              |
|  16 | laquo    | «           | U+00AB (171)                   | HTML 3.2   | HTMLlat1    | ISOnum           | left-pointing double angle quotation mark (left pointing guillemet)     |
|  17 | not      | ¬           | U+00AC (172)                   | HTML 3.2   | HTMLlat1    | ISOnum           | not sign                                                                |
|  18 | shy      | nan         | U+00AD (173)                   | HTML 3.2   | HTMLlat1    | ISOnum           | soft hyphen (discretionary hyphen)                                      |
|  19 | reg      | ®           | U+00AE (174)                   | HTML 3.2   | HTMLlat1    | ISOnum           | registered sign (registered trademark symbol)                           |
|  20 | macr     | ̄           | U+00AF (175)                   | HTML 3.2   | HTMLlat1    | ISOdia           | macron (spacing macron, overline, APL overbar)                          |
|  21 | deg      | °           | U+00B0 (176)                   | HTML 3.2   | HTMLlat1    | ISOnum           | degree symbol                                                           |
|  22 | plusmn   | ±           | U+00B1 (177)                   | HTML 3.2   | HTMLlat1    | ISOnum           | plus-minus sign (plus-or-minus sign)                                    |
|  23 | sup2     | 2           | U+00B2 (178)                   | HTML 3.2   | HTMLlat1    | ISOnum           | superscript two (superscript digit two, squared)                        |
|  24 | sup3     | 3           | U+00B3 (179)                   | HTML 3.2   | HTMLlat1    | ISOnum           | superscript three (superscript digit three, cubed)                      |
|  25 | acute    | ́           | U+00B4 (180)                   | HTML 3.2   | HTMLlat1    | ISOdia           | acute accent (spacing acute)                                            |
|  26 | micro    | μ           | U+00B5 (181)                   | HTML 3.2   | HTMLlat1    | ISOnum           | micro sign                                                              |
|  27 | para     | ¶           | U+00B6 (182)                   | HTML 3.2   | HTMLlat1    | ISOnum           | pilcrow sign (paragraph sign)                                           |
|  28 | middot   | ·           | U+00B7 (183)                   | HTML 3.2   | HTMLlat1    | ISOnum           | middle dot (Georgian comma, Greek middle dot)                           |
|  29 | cedil    | ̧           | U+00B8 (184)                   | HTML 3.2   | HTMLlat1    | ISOdia           | cedilla (spacing cedilla)                                               |
