===================Title===================
List of periodic comets
===================Table===================
|     | Comet                                                        | Discoverer(s) or namesake(s)                                                                | Orbital period (years)   | Spacecraft encounter(s)                                                                                                                    |
|----:|:-------------------------------------------------------------|:--------------------------------------------------------------------------------------------|:-------------------------|:-------------------------------------------------------------------------------------------------------------------------------------------|
|   0 | 1P/Halley                                                    | Halley                                                                                      | 75.32                    | Giotto (flyby 1986), Vega 1 (flyby 1986), Vega 2 (flyby 1986), Suisei (flyby 1986) ICE (distant flyby 1986), Sakigake (distant flyby 1986) |
|   1 | 2P/Encke                                                     | Encke                                                                                       | 3.30                     | nan                                                                                                                                        |
|   2 | 3D/Biela                                                     | Biela                                                                                       | nan                      | nan                                                                                                                                        |
|   3 | 4P/Faye                                                      | Faye                                                                                        | 7.51                     | nan                                                                                                                                        |
|   4 | 5D/Brorsen                                                   | Brorsen                                                                                     | nan                      | nan                                                                                                                                        |
|   5 | 6P/d'Arrest                                                  | d'Arrest                                                                                    | 6.54                     | nan                                                                                                                                        |
|   6 | 7P/Pons–Winnecke                                             | Pons & Winnecke                                                                             | 6.36                     | nan                                                                                                                                        |
|   7 | 8P/Tuttle                                                    | Tuttle                                                                                      | 13.61                    | nan                                                                                                                                        |
|   8 | 9P/Tempel (Tempel 1)                                         | Tempel                                                                                      | 5.58                     | Deep Impact (impactor/flyby 2005), Stardust (flyby 2011)                                                                                   |
|   9 | 10P/Tempel (Tempel 2)                                        | Tempel                                                                                      | 5.37                     | nan                                                                                                                                        |
|  10 | 11P/Tempel–Swift–LINEAR                                      | Tempel & Swift & LINEAR                                                                     | 6.37                     | nan                                                                                                                                        |
|  11 | 12P/Pons–Brooks                                              | Pons & Brooks                                                                               | 70.85                    | nan                                                                                                                                        |
|  12 | 13P/Olbers                                                   | Olbers                                                                                      | 69.52                    | nan                                                                                                                                        |
|  13 | 14P/Wolf                                                     | Wolf                                                                                        | 8.74                     | nan                                                                                                                                        |
|  14 | 15P/Finlay                                                   | Finlay                                                                                      | 6.50                     | nan                                                                                                                                        |
|  15 | 16P/Brooks (Brooks 2)                                        | Brooks                                                                                      | 6.14                     | nan                                                                                                                                        |
|  16 | 17P/Holmes                                                   | Holmes                                                                                      | 6.88                     | nan                                                                                                                                        |
|  17 | 18D/Perrine–Mrkos                                            | Perrine & Mrkos                                                                             | nan                      | nan                                                                                                                                        |
|  18 | 19P/Borrelly                                                 | Borrelly                                                                                    | 6.85                     | Deep Space 1 (flyby 2001)                                                                                                                  |
|  19 | 20D/Westphal                                                 | Westphal                                                                                    | nan                      | nan                                                                                                                                        |
|  20 | 21P/Giacobini–Zinner                                         | Giacobini & Zinner                                                                          | 6.60                     | ICE (distant flyby 1985)                                                                                                                   |
|  21 | 22P/Kopff                                                    | Kopff                                                                                       | 6.43                     | CRAF (rendezvous/lander 2000 – cancelled)                                                                                                  |
|  22 | 23P/Brorsen–Metcalf                                          | Brorsen & Metcalf                                                                           | 70.52                    | nan                                                                                                                                        |
|  23 | 24P/Schaumasse                                               | Schaumasse                                                                                  | 8.25                     | nan                                                                                                                                        |
|  24 | 25D/Neujmin (Neujmin 2)                                      | Neujmin                                                                                     | nan                      | nan                                                                                                                                        |
|  25 | 26P/Grigg–Skjellerup                                         | Grigg & Skjellerup                                                                          | 5.31                     | Giotto (flyby 1992)                                                                                                                        |
|  26 | 27P/Crommelin                                                | Crommelin                                                                                   | 27.93                    | nan                                                                                                                                        |
|  27 | 28P/Neujmin (Neujmin 1)                                      | Neujmin                                                                                     | 18.17                    | nan                                                                                                                                        |
|  28 | 29P/Schwassmann–Wachmann (Schwassmann–Wachmann 1)            | Schwassmann & Wachmann                                                                      | 14.69                    | nan                                                                                                                                        |
|  29 | 30P/Reinmuth (Reinmuth 1)                                    | Reinmuth                                                                                    | 7.34                     | nan                                                                                                                                        |
|  30 | 31P/Schwassmann–Wachmann (Schwassmann–Wachmann 2)            | Schwassmann & Wachmann                                                                      | 8.75                     | nan                                                                                                                                        |
|  31 | 32P/Comas Solá                                              | Comas Solá                                                                                 | 8.80                     | nan                                                                                                                                        |
|  32 | 33P/Daniel                                                   | Daniel                                                                                      | 8.07                     | nan                                                                                                                                        |
|  33 | 34D/Gale                                                     | Gale                                                                                        | nan                      | nan                                                                                                                                        |
|  34 | 35P/Herschel–Rigollet                                        | Herschel & Rigollet                                                                         | 155                      | nan                                                                                                                                        |
|  35 | 36P/Whipple                                                  | Whipple                                                                                     | 8.55                     | nan                                                                                                                                        |
|  36 | 37P/Forbes                                                   | Forbes                                                                                      | 6.35                     | nan                                                                                                                                        |
