===================Title===================
List of 2008 New Zealand fuel economy ratings
===================Table===================
|     | Model                                    | Fuel Type   |   mpg (US gallons) |   L/100 km |   NZ Rating\n(Stars) |
|----:|:-----------------------------------------|:------------|-------------------:|-----------:|---------------------:|
|   0 | Volkswagen Polo 1.4 TDI BLUEMOTION       | diesel      |               62   |        3.8 |                  5.5 |
|   1 | Volkswagen Polo 1.4 TDI 5M               | diesel      |               52   |        4.5 |                  5.5 |
|   2 | Volkswagen Polo 1.4 MAN                  | petrol      |               36.7 |        6.4 |                  4.5 |
|   3 | Volkswagen Polo 1.4 6A                   | petrol      |               34   |        6.9 |                  4.5 |
|   4 | Fiat 500 1.3 JTD POP                     | diesel      |               56   |        4.2 |                  5.5 |
|   5 | Fiat 500 1.2 POP                         | petrol      |               46   |        5.1 |                  5   |
|   6 | Fiat 500 1.4 LOUNGE 3D                   | petrol      |               37.3 |        6.3 |                  4.5 |
|   7 | Fiat 500 1.4 POP                         | petrol      |               37.3 |        6.3 |                  4.5 |
|   8 | Fiat 500 1.4 SPORT                       | petrol      |               37.3 |        6.3 |                  4.5 |
|   9 | Mini Cooper HATCH 6M 2DR 1.5L Diesel     | diesel      |               53   |        4.4 |                  5.5 |
|  10 | Mini Cooper COUPE 6M 3DR 1.6L Diesel     | diesel      |               52   |        4.5 |                  5.5 |
|  11 | Mini Cooper COUPE 6A 3DR 1.6L Diesel     | diesel      |               43.5 |        5.4 |                  5   |
|  12 | Mini Cooper HATCH 6M 2DR 1.6I            | petrol      |               40.5 |        5.8 |                  5   |
|  13 | Mini Cooper COUPE 6M 3DR 1.6L            | petrol      |               39.2 |        6   |                  5   |
|  14 | Mini Cooper HATCH 6M 2DR 1.5L            | petrol      |               35   |        6.7 |                  4.5 |
|  15 | Mini Cooper COUPE 6A 3DR 1.6L            | petrol      |               34.6 |        6.8 |                  4.5 |
|  16 | Citroen C4 1.6 HDI 6A EGS 5DR            | diesel      |               52   |        4.5 |                  5.5 |
|  17 | Citroen C4 1.6 SX 5DR 5SP M D            | diesel      |               50   |        4.7 |                  5   |
|  18 | Citroen C4 2.0 SX 5DR 6SP A D            | diesel      |               37.3 |        6.3 |                  4.5 |
|  19 | Hyundai Getz 1.5D CRDI 5D M5             | diesel      |               52   |        4.5 |                  5.5 |
|  20 | Hyundai Getz 1.4 5D M5                   | petrol      |               38.5 |        6.1 |                  4.5 |
|  21 | Kia Rio 1.5 DIESEL HATCH MAN             | diesel      |               52   |        4.5 |                  5.5 |
|  22 | Kia Rio 1.5 DIESEL SEDAN MAN             | diesel      |               52   |        4.5 |                  5.5 |
|  23 | Kia Rio 1.6 HATCH MANUAL                 | petrol      |               34.6 |        6.8 |                  4.5 |
|  24 | Volkswagen Golf 1.9 TDI BLUEMOTION       | diesel      |               52   |        4.5 |                  5.5 |
|  25 | Volkswagen Golf 1.9 TDI 7DSG             | diesel      |               44.3 |        5.3 |                  5   |
|  26 | Volkswagen Golf 90KW TSI 7DSG            | petrol      |               39.8 |        5.9 |                  5   |
|  27 | Volkswagen Golf 1.9 TDI 6DSG             | diesel      |               39.2 |        6   |                  5   |
|  28 | Volkswagen Golf 2.0 TDI 4 MOTION MAN     | diesel      |               39.2 |        6   |                  5   |
|  29 | Volkswagen Golf 2.0 TDI DSG              | diesel      |               39.2 |        6   |                  5   |
|  30 | Volkswagen Golf TDI 103KW 6DSG           | diesel      |               38.5 |        6.1 |                  4.5 |
|  31 | Volkswagen Golf TDI 103KW 4MOTION        | diesel      |               37.3 |        6.3 |                  4.5 |
|  32 | Fiat Grande Punto 1.3 JTD 5D 6SP         | diesel      |               51   |        4.6 |                  5   |
|  33 | Fiat Grande Punto 1.3 JTD 5D DUALOGIC    | diesel      |               51   |        4.6 |                  5   |
|  34 | Fiat Grande Punto 1.3 JTD DUAL LOGIC     | diesel      |               46   |        5.1 |                  5   |
|  35 | Fiat Grande Punto 1.9 JTD SPORT 3D 6SP   | diesel      |               42   |        5.6 |                  5   |
|  36 | Fiat Grande Punto 1.9 EMOTION 5DR 6SPD   | diesel      |               42   |        5.6 |                  5   |
|  37 | Fiat Grande Punto 1.9 JTD 5D 6SPEED      | diesel      |               42   |        5.6 |                  5   |
|  38 | Fiat Grande Punto 1.4 DYNAMIC 5 SPEED    | petrol      |               38.5 |        6.1 |                  4.5 |
|  39 | Fiat Grande Punto 1.4 5D DUAL LOGIC      | petrol      |               35   |        6.7 |                  4.5 |
|  40 | Honda Civic Hybrid                       | petrol      |               51   |        4.6 |                  5   |
|  41 | Hyundai Accent 1.5 CRDI 4D M5 SEDAN      | diesel      |               51   |        4.6 |                  5   |
|  42 | Hyundai Accent 1.6 GLS 4D M5             | petrol      |               36.7 |        6.4 |                  4.5 |
|  43 | Peugeot 308 HDI AT 1.6                   | diesel      |               51   |        4.6 |                  5   |
|  44 | Peugeot 308 XS MANUAL                    | petrol      |               35   |        6.7 |                  4.5 |
|  45 | Peugeot 308 HDI AUTO                     | diesel      |               34.6 |        6.8 |                  4.5 |
