===================Title===================
WWC Television Championship
===================Table===================
|    | Wrestler:                      |   Reigns: | Date:              | Place:                   | Notes:                                                                                             |
|---:|:-------------------------------|----------:|:-------------------|:-------------------------|:---------------------------------------------------------------------------------------------------|
|  0 | Ron Starr                      |         1 | September 19, 1986 | Ponce, Puerto Rico       | Defeated Invader I in a Tournament Final                                                           |
|  1 | Invader I                      |         1 | November 5, 1986   | San Juan, Puerto Rico    | nan                                                                                                |
|  2 | Jason The Terrible             |         1 | January 17, 1987   | Caguas, Puerto Rico      | nan                                                                                                |
|  3 | Invader I                      |         2 | September 18, 1987 | San Juan, Puerto Rico    | nan                                                                                                |
|  4 | Grizzly Boone                  |         1 | October 24, 1987   | Bayamon, Puerto Rico     | nan                                                                                                |
|  5 | Invader I                      |         3 | November 25, 1987  | San Juan, Puerto Rico    | Held up after a match against Super Black Ninja on January 8, 1988 in San Juan, PR                 |
|  6 | Super Black Ninja              |         1 | February 6, 1988   | Guaynabo, Puerto Rico    | nan                                                                                                |
|  7 | Invader I                      |         4 | April 2, 1988      | Bayamon, Puerto Rico     | nan                                                                                                |
|  8 | Ron Starr                      |         2 | June 25, 1988      | Carolina, Puerto Rico    | nan                                                                                                |
|  9 | Carlos Colon                   |         1 | August 20, 1988    | Bayamon, Puerto Rico     | nan                                                                                                |
| 10 | Jason The Terrible             |         2 | January 28, 1989   | Carolina, Puerto Rico    | nan                                                                                                |
| 11 | Carlos Colon                   |         2 | March 1, 1989      | Carolina, Puerto Rico    | Vacant on May 22, 1989 after Colon was injured by Steve Strong on May 20, 1989                     |
| 12 | TNT                            |         1 | June 17, 1989      | San Juan, Puerto Rico    | Defeats Abudda Dein; vacant on February 9, 1990 when TNT wins the WWC Universal Heavyweight Title  |
| 13 | Leo Burke                      |         1 | March 24, 1990     | Caguas, Puerto Rico      | Defeats Carlos Colon in a tournament final.                                                        |
| 14 | TNT                            |         2 | April 25, 1990     | San Juan, Puerto Rico    | Won the vacant title                                                                               |
| 15 | Action Jackson (Original TNT)  |         1 | January 26, 1991   | Caguas, Puerto Rico      | Wins tournament; loses a name match on March 2, 1991 in Bayamon, PR                                |
| 16 | TNT                            |         3 | March 30, 1991     | Bayamon, Puerto Rico     | nan                                                                                                |
| 17 | King Kong                      |         1 | April 20, 1991     | Bayamon, Puerto Rico     | nan                                                                                                |
| 18 | TNT                            |         4 | June 1, 1991       | Bayamon, Puerto Rico     | nan                                                                                                |
| 19 | Fidel Sierra                   |         1 | October 19, 1991   | Bayamon, Puerto Rico     | nan                                                                                                |
| 20 | TNT                            |         5 | October 26, 1991   | Carolina, Puerto Rico    | nan                                                                                                |
| 21 | Dick Murdoch                   |         1 | November 23, 1991  | Arroyo, Puerto Rico      | nan                                                                                                |
| 22 | Invader I                      |         5 | December 25, 1991  | San Juan, Puerto Rico    | nan                                                                                                |
| 23 | Dick Murdoch                   |         2 | January 6, 1992    | San Juan, Puerto Rico    | Vacant on January 6, 1993 when Murdoch leaves the promotion.                                       |
| 24 | Carlos Colon                   |         3 | June 18, 1994      | San Juan, Puerto Rico    | Defeated Mighty Koadiak in a tournament final.                                                     |
| 25 | Mighty Koadiak                 |         1 | 1994               | nan                      | nan                                                                                                |
| 26 | Rex King                       |         1 | 1995               | nan                      | nan                                                                                                |
| 27 | Sean Morley                    |         1 | 1995               | nan                      | nan                                                                                                |
| 28 | Ricky Santana                  |         1 | 1995               | nan                      | nan                                                                                                |
| 29 | Rex King                       |         2 | 1995               | nan                      | nan                                                                                                |
| 30 | Pulgarcito                     |         1 | November 11, 1995  | nan                      | nan                                                                                                |
| 31 | Mighty Koadiak                 |         2 | November 26, 1995  | nan                      | nan                                                                                                |
| 32 | Sweet Brown Sugar (Skip Young) |         1 | January 6, 1996    | Caguas, Puerto Rico      | nan                                                                                                |
| 33 | Ricky Santana                  |         2 | March 23, 1996     | Caguas, Puerto Rico      | nan                                                                                                |
| 34 | "Jungle" Jim Steele            |         1 | April 20, 1996     | Caguas, Puerto Rico      | nan                                                                                                |
| 35 | El Bronco I                    |         1 | May 18, 1996       | Caguas, Puerto Rico      | nan                                                                                                |
| 36 | Sean Morley                    |         2 | May 30, 1996       | Caguas, Puerto Rico      | Joins the WWF in 1997, but is still recognized as champion; title becomes vacant on March 3, 1999. |
| 37 | Glamour Boy Shane              |         1 | April 2, 1999      | Guaynabo, Puerto Rico    | Defeated "Jungle" Jim Steele for vacant title.                                                     |
| 38 | Mustafa Saed                   |         1 | August 14, 1999    | Caguas, Puerto Rico      | nan                                                                                                |
| 39 | Glamour Boy Shane              |         2 | September 19, 1999 | Guaynabo, Puerto Rico    | nan                                                                                                |
| 40 | Chicky Starr                   |         1 | November 13, 1999  | Naguabo, Puerto Rico     | nan                                                                                                |
| 41 | Glamour Boy Shane              |         3 | January 6, 2000    | Caguas, Puerto Rico      | nan                                                                                                |
| 42 | Rex King                       |         3 | March 19, 2000     | Cabo Rojo, Puerto Rico   | nan                                                                                                |
| 43 | Chris Grant                    |         1 | April 21, 2001     | Orocovis, Puerto Rico    | nan                                                                                                |
| 44 | Alex Porteau                   |         1 | July 7, 2001       | Carolina, Puerto Rico    | nan                                                                                                |
| 45 | Chris Grant                    |         2 | July 21, 2001      | Orocovis, Puerto Rico    | wins the title by forfeit                                                                          |
| 46 | Bad Boy Bradley                |         1 | September 8, 2001  | Bayamón, Puerto Rico    | nan                                                                                                |
| 47 | Super Gladiator                |         1 | October 6, 2001    | Caguas, Puerto Rico      | nan                                                                                                |
| 48 | Ricky Santana                  |         3 | March 16, 2002     | Aibonito, Puerto Rico    | nan                                                                                                |
| 49 | Rico Suave                     |         1 | April 6, 2002      | Caguas, Puerto Rico      | nan                                                                                                |
| 50 | Ray Gonzalez                   |         1 | April 27, 2002     | San Lorenzo, Puerto Rico | nan                                                                                                |
| 51 | Carlos Colon                   |         4 | June 8, 2002       | Toa Baja, Puerto Rico    | nan                                                                                                |
| 52 | Ray Gonzalez                   |         2 | June 15, 2002      | Caguas, Puerto Rico      | Vacates title on July 1, 2002 when he leaves the company.                                          |
| 53 | Wilfredo Alejandro             |         1 | July 6, 2002       | Cayey, Puerto Rico       | wins a battle royal for the vacant title.                                                          |
| 54 | Fidel Sierra                   |         2 | August 24, 2002    | Coamo, Puerto Rico       | nan                                                                                                |
| 55 | Chris Candido                  |         1 | June 6, 2003       | Cayey, Puerto Rico       | nan                                                                                                |
| 56 | Vengador Boricua               |         1 | July 19, 2003      | Carolina, Puerto Rico    | title becomes inactive when Vengador Boricua leaves the company.                                   |
| 57 | Superstar Romeo                |         1 | February 3, 2007   | Caguas, Puerto Rico      | Romeo beat Barabas Jr. to win the reactivated title.                                               |
| 58 | Rico Suave                     |         2 | March 17, 2007     | Bayamon, Puerto Rico     | nan                                                                                                |
| 59 | Crazy Rudy                     |         1 | April 28, 2007     | Bayamon, Puerto Rico     | nan                                                                                                |
| 60 | Ash Rubinsky                   |         1 | November 24, 2007  | Bayamon, Puerto Rico     | Wins a 7-man battle royal.                                                                         |
| 61 | B.J.                           |         1 | January 6, 2008    | Choliseo, Puerto Rico    | Wins the title after winning an 11 man Battle Royal                                                |
| 62 | Hammett                        |         1 | March 1, 2008      | Tao Baja, Puerto Rico    | nan                                                                                                |
| 63 | B.J.                           |         2 | March 15, 2008     | Lares, Puerto Rico       | nan                                                                                                |
| 64 | Chris Joel                     |         1 | May 10, 2008       | Bayamon, Puerto Rico     | nan                                                                                                |
| 65 | Vacant                         |       nan | nan                | nan                      | Chris Joel Jumps to IWA                                                                            |
===================Question===================
who won the title after rex king did in 1995?
===================Text===================
Final Answer: Pulgarcito
===================Answer===================
Pulgarcito
