===================Title===================
Zane Grey
===================Table===================
|     |   Year | Title                                             | Genre      | Publisher             | Notes                                                                        |
|----:|-------:|:--------------------------------------------------|:-----------|:----------------------|:-----------------------------------------------------------------------------|
|   0 |   1903 | Betty Zane                                        | Historical | Charles Francis Press | nan                                                                          |
|   1 |   1906 | Spirit of the Border                              | Historical | A. L. Burt & Company  | Sequel to Betty Zane                                                         |
|   2 |   1908 | The Last of the Plainsmen                         | Western    | Outing Publishing     | Inspired by Charles "Buffalo" Jones                                          |
|   3 |   1909 | The Last Trail                                    | Western    | Outing Publishing     | Sequel to Spirit of the Border                                               |
|   4 |   1909 | The ShortStop                                     | Baseball   | A. C. McClurg         | nan                                                                          |
|   5 |   1910 | The Heritage of the Desert                        | Western    | Harper & Brothers     | nan                                                                          |
|   6 |   1910 | The Young Forester                                | Western    | Harper & Brothers     | nan                                                                          |
|   7 |   1911 | The Young Pitcher                                 | Baseball   | Harper & Brothers     | nan                                                                          |
|   8 |   1911 | The Young Lion Hunter                             | Western    | Harper & Brothers     | nan                                                                          |
|   9 |   1912 | Riders of the Purple Sage                         | Western    | Harper & Brothers     | nan                                                                          |
|  10 |   1912 | Ken Ward in the Jungle                            | Western    | Harper & Brothers     | nan                                                                          |
|  11 |   1913 | Desert Gold                                       | Western    | Harper & Brothers     | nan                                                                          |
|  12 |   1914 | The Light of Western Stars                        | Western    | Harper & Brothers     | nan                                                                          |
|  13 |   1915 | The Lone Star Ranger                              | Western    | Harper & Brothers     | nan                                                                          |
|  14 |   1915 | The Rainbow Trail                                 | Western    | Harper & Brothers     | Sequel to Riders of the Purple Sage                                          |
|  15 |   1916 | The Border Legion                                 | Western    | Harper & Brothers     | nan                                                                          |
|  16 |   1917 | Wildfire                                          | Western    | Harper & Brothers     | nan                                                                          |
|  17 |   1918 | The UP Trail                                      | Western    | Harper & Brothers     | nan                                                                          |
|  18 |   1919 | The Desert of Wheat                               | Western    | Harper & Brothers     | nan                                                                          |
|  19 |   1919 | Tales of Fishes                                   | Fishing    | Harper & Brothers     | nan                                                                          |
|  20 |   1920 | The Man of the Forest                             | Western    | Grosset & Dunlap      | nan                                                                          |
|  21 |   1920 | The Redheaded Outfield and other Baseball Stories | Baseball   | Harper & Brothers     | nan                                                                          |
|  22 |   1921 | The Mysterious Rider                              | Western    | Harper & Brothers     | nan                                                                          |
|  23 |   1921 | To the Last Man                                   | Western    | Harper & Brothers     | nan                                                                          |
|  24 |   1922 | The Day of the Beast                              | Fiction    | Harper & Brothers     | nan                                                                          |
|  25 |   1922 | Tales of Lonely Trails                            | Adventure  | Harper & Brothers     | nan                                                                          |
|  26 |   1923 | Wanderer of the Wasteland                         | Western    | Harper & Brothers     | nan                                                                          |
|  27 |   1923 | Tappan's Burro                                    | Western    | Harper & Brothers     | nan                                                                          |
|  28 |   1924 | The Call of the Canyon                            | Western    | Harper & Brothers     | nan                                                                          |
|  29 |   1924 | Roping Lions in the Grand Canyon                  | Adventure  | Harper & Brothers     | nan                                                                          |
|  30 |   1924 | Tales of Southern Rivers                          | Fishing    | Harper & Brothers     | nan                                                                          |
|  31 |   1925 | The Thundering Herd                               | Western    | Harper & Brothers     | nan                                                                          |
|  32 |   1925 | The Vanishing American                            | Western    | Harper & Brothers     | nan                                                                          |
