===================Title===================
List of Israeli cities
===================Table===================
|    | Common name            | District                     | Hebrew             | Arabic               | Population\n(2009)   |   Area\n(km²) | Mayor               |
|---:|:-----------------------|:-----------------------------|:-------------------|:---------------------|:---------------------|--------------:|:--------------------|
|  0 | Acre                   | North                        | עכו                | عكا                  | 46,300               |        13.533 | Shimon Lancry       |
|  1 | Afula                  | North                        | עפולה              | العفولة              | 40,500               |        26.909 | Avi Elkabetz        |
|  2 | Arad                   | South                        | ערד                | عراد                 | 23,400               |        93.14  | Tali Ploskov        |
|  3 | Ariel                  | Judea & Samaria\n(West Bank) | אריאל              | أريأل              | 17,600               |        14.677 | Eliyahu Shaviro     |
|  4 | Ashdod                 | South                        | אשדוד              | أشدود               | 206,400              |        47.242 | Yehiel Lasri        |
|  5 | Ashkelon               | South                        | אשקלון             | عسقلان               | 111,900              |        47.788 | Benny Vaknin        |
|  6 | Baqa-Jatt              | Haifa                        | באקה-ג'ת           | باقة جت              | 34,300               |        16.392 | Yitzhak Veled       |
|  7 | Bat Yam                | Tel Aviv                     | בת ים              | بات يام              | 130,000              |         8.167 | Shlomo Lahiani      |
|  8 | Beersheba              | South                        | באר שבע            | بئر السبع           | 197,300              |        52.903 | Rubik Danilovich    |
|  9 | Beit She'an            | North                        | בית שאן            | بيسان                | 16,900               |         7.33  | Jacky Levi          |
| 10 | Beit Shemesh           | Jerusalem                    | בית שמש            | بيت شيمش             | 77,100               |        34.259 | Moshe Abutbul       |
| 11 | Beitar Illit           | Judea & Samaria\n(West Bank) | ביתר עילית         | بيتار عيليت          | 35,000               |         6.801 | Meir Rubenstein     |
| 12 | Bnei Brak              | Tel Aviv                     | בני ברק            | بني براك             | 154,400              |         7.088 | Ya'akov Asher       |
| 13 | Dimona                 | South                        | דימונה             | ديمونة               | 32,400               |        29.877 | Meir Cohen          |
| 14 | Eilat                  | South                        | אילת               | إيلات               | 47,400               |        84.789 | Meir Yitzhak Halevi |
| 15 | El'ad                  | Center                       | אלעד               | أيلعاد              | 36,300               |         2.756 | Yitzhak Idan        |
| 16 | Giv'atayim             | Tel Aviv                     | גבעתיים            | جفعاتايم             | 53,000               |         3.246 | Ran Kunik           |
| 17 | Giv'at Shmuel          | Center                       | גבעת שמואל         | nan                  | 21,800               |         2.579 | Yossi Brodny        |
| 18 | Hadera                 | Haifa                        | חדרה               | الخضيرة              | 80,200               |        49.359 | Haim Avitan         |
| 19 | Haifa                  | Haifa                        | חיפה               | حيفا                 | 265,600              |        63.666 | Yona Yahav          |
| 20 | Herzliya               | Tel Aviv                     | הרצליה             | هرتسليا              | 87,000               |        21.585 | Yehonatan Yassur    |
