===================Title===================
Florida Derby
===================Table===================
|    |   Year | Winner              |   Age | Jockey             | Trainer              | Owner                     | Distance\n(Miles)   | Time    | Purse      | Gr   |
|---:|-------:|:--------------------|------:|:-------------------|:---------------------|:--------------------------|:--------------------|:--------|:-----------|:-----|
|  0 |   2014 | Constitution        |     3 | Javier Castellano  | Todd Pletcher        | Winstar Farm              | 1-1/8               | 1:49.17 | $1,000,000 | I    |
|  1 |   2013 | Orb                 |     3 | John Velazquez     | Claude McGaughey III | Janney/Phipps Stable      | 1-1/8               | 1:50.87 | $1,000,000 | I    |
|  2 |   2012 | Take Charge Indy    |     3 | Calvin Borel       | Patrick B. Byrne     | C & M Sandford            | 1-1/8               | 1:48.79 | $1,000,000 | I    |
|  3 |   2011 | Dialed In           |     3 | Julien R. Leparoux | Nick Zito            | Robert V. LaPenta         | 1-1/8               | 1:50.74 | $1,000,000 | I    |
|  4 |   2010 | Ice Box             |     3 | Jose Lezcano       | Nick Zito            | Robert V. LaPenta         | 1-1/8               | 1:49.19 | $750,000   | I    |
|  5 |   2009 | Quality Road        |     3 | John Velazquez     | James A. Jerkens     | Edward P. Evans           | 1-1/8               | 1:47.72 | $750,000   | I    |
|  6 |   2008 | Big Brown           |     3 | Kent Desormeaux    | Richard E. Dutrow    | IEAH Stables/Paul Pompa   | 1-1/8               | 1:48.16 | $1,000,000 | I    |
|  7 |   2007 | Scat Daddy          |     3 | Edgar Prado        | Todd A. Pletcher     | J. Scatuorchio / M. Tabor | 1-1/8               | 1:49.00 | $1,000,000 | I    |
|  8 |   2006 | Barbaro             |     3 | Edgar Prado        | Michael Matz         | Lael Stables              | 1-1/8               | 1:49.01 | $1,000,000 | I    |
|  9 |   2005 | High Fly            |     3 | Jerry Bailey       | Nick Zito            | Live Oak Plantation       | 1-1/8               | 1:49.43 | $1,000,000 | I    |
| 10 |   2004 | Friends Lake        |     3 | Richard Migliore   | John C. Kimmel       | Chester & Mary Broman     | 1-1/8               | 1:51.38 | $1,000,000 | I    |
| 11 |   2003 | Empire Maker        |     3 | Jerry Bailey       | Robert Frankel       | Juddmonte Farms           | 1-1/8               | 1:49.05 | $1,000,000 | I    |
| 12 |   2002 | Harlan's Holiday    |     3 | Edgar Prado        | Kenneth McPeek       | Starlight Stable          | 1-1/8               | 1:48.80 | $1,000,000 | I    |
| 13 |   2001 | Monarchos           |     3 | Jorge Chavez       | John T. Ward, Jr.    | John C. Oxley             | 1-1/8               | 1:49.95 | $1,000,000 | I    |
| 14 |   2000 | Hal's Hope          |     3 | Roger Velez        | Harold Rose          | Rose Family Stable        | 1-1/8               | 1:51.49 | $1,000,000 | I    |
| 15 |   1999 | Vicar               |     3 | Shane Sellers      | Carl Nafzger         | James B. Tafel            | 1-1/8               | 1:50.83 | $750,000   | I    |
| 16 |   1998 | Cape Town †         |     3 | Shane Sellers      | D. Wayne Lukas       | Overbrook Farm            | 1-1/8               | 1:49.21 | $750,000   | I    |
| 17 |   1997 | Captain Bodgit      |     3 | Alex Solis         | Gary Capuano         | Team Valor                | 1-1/8               | 1:50.60 | $750,000   | I    |
| 18 |   1996 | Unbridled's Song    |     3 | Mike Smith         | James T. Ryerson     | Paraneck Stable           | 1-1/8               | 1:47.85 | $750,000   | I    |
| 19 |   1995 | Thunder Gulch       |     3 | Mike Smith         | D. Wayne Lukas       | Michael Tabor             | 1-1/8               | 1:49.70 | $500,000   | I    |
