===================Title===================
List of European islands by area
===================Table===================
|    |   Rank | Island                                                    |   Area\n(km²) |   Area\n(sq mi) | Country/Countries/Region                       |
|---:|-------:|:----------------------------------------------------------|--------------:|----------------:|:-----------------------------------------------|
|  0 |    209 | Mljet                                                     |         100   |            39   | Croatia                                        |
|  1 |    210 | Kythnos                                                   |          99   |            38   | Greece                                         |
|  2 |    211 | Sylt                                                      |          99   |            38   | Germany                                        |
|  3 |    212 | Askøy                                                     |          99   |            38   | Norway                                         |
|  4 |    213 | Santa Maria Island                                        |          97   |            37   | Portugal                                       |
|  5 |    214 | Astypalaia                                                |          97   |            38   | Greece                                         |
|  6 |    215 | Amager                                                    |          96   |            37   | Denmark                                        |
|  7 |    216 | Ithaki                                                    |          96   |            37   | Greece                                         |
|  8 |    217 | Borðoy                                                    |          95   |            37   | Faroe Islands, an autonomous region of Denmark |
|  9 |    218 | Salamis                                                   |          95   |            37   | Greece                                         |
| 10 |    219 | Skopelos                                                  |          95   |            37   | Greece                                         |
| 11 |    220 | Sheppey                                                   |          94   |            36   | United Kingdom                                 |
| 12 |    221 | Gräsö                                                   |          93   |            36   | Sweden                                         |
| 13 |    222 | Lemland                                                   |          92   |            36   | Finland                                        |
| 14 |    223 | Vormsi                                                    |          92   |            36   | Estonia                                        |
| 15 |    224 | Rab                                                       |          91   |            36   | Croatia                                        |
| 16 |    225 | Eckerö                                                   |          91   |            36   | Finland                                        |
| 17 |    226 | Öja (island)                                             |          90   |            35   | Finland                                        |
| 18 |    227 | Vis                                                       |          90   |            35   | Croatia                                        |
| 19 |    228 | Rolvsøy, Finnmark                                         |          89   |            34   | Norway                                         |
| 20 |    229 | Tustna                                                    |          89   |            34   | Norway                                         |
| 21 |    230 | Austra                                                    |          88   |            34   | Norway                                         |
| 22 |    231 | Holsnøy                                                   |          88   |            34   | Norway                                         |
| 23 |    232 | Terschelling                                              |          88   |            34   | Netherlands                                    |
| 24 |    233 | Ærø                                                       |          88   |            34   | Denmark                                        |
| 25 |    234 | Belle Île                                                |          87   |            34   | France                                         |
| 26 |    235 | Mykonos                                                   |          86   |            34   | Greece                                         |
| 27 |    236 | Kågen                                                    |          86   |            33   | Norway                                         |
