===================Title===================
Royal Arsenal Railway
===================Table===================
|    | Name               | Type                    | Builder                      |   Works number |   Date | Notes                                                                                                                                                                                                                                                                 |
|---:|:-------------------|:------------------------|:-----------------------------|---------------:|-------:|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|  0 | Driver             | 0-4-0ST                 | Manning Wardle               |            515 |   1875 | To Wantage Tramway 1919 possibly per J.F. Wake, scrapped 1920 owing to defective steampipe                                                                                                                                                                            |
|  1 | Gunner             | 0-4-0ST                 | Manning Wardle               |            581 |   1876 | To J.F. Wake 1919, sold to Castner-Kellner Alkali Co. Ltd., Cheshire, scrapping date unknown                                                                                                                                                                          |
|  2 | Pioneer            | 0-4-0ST                 | Manning Wardle               |            676 |   1878 | To Isherwood & Co. (contractor), Brentford 1920, sold or scrapped shortly after 6/1920                                                                                                                                                                                |
|  3 | Caesar             | 0-4-0ST                 | Manning Wardle               |            953 |   1886 | To Holloway Bros. (contractors) Winchester circa 1919, scrapping date unknown                                                                                                                                                                                         |
|  4 | Lord Napier        | 0-4-0ST                 | Manning Wardle               |            961 |   1886 | Arsenal records say scrapped 1/1916 but remains still extant 9/1947 according to Railway Observer magazine (RCTS)                                                                                                                                                     |
|  5 | Bombard            | 0-4-0ST                 | Hawthorn Leslie              |           2115 |   1888 | To British Mannesmann Tube Co. Landore 1920 per Williams & Co., scrapping date unknown                                                                                                                                                                                |
|  6 | Vulcan             | 0-4-0ST                 | Vulcan Foundry               |           1399 |   1893 | Disposal unknown, probably scrapped during First World War                                                                                                                                                                                                            |
|  7 | Cyclops            | 0-4-0ST                 | Hudswell Clarke              |            451 |   1895 | To Currie, Rowlands & Co., Birkenhead, 1920 per Williams & Co.. To Cudworth & Johnson Ltd., Wrexham 1947 (loaned to William Lee, Seacombe 1950-64), scrapped 6/1964                                                                                                   |
|  8 | Lord Kitchener     | 0-4-0ST                 | Bagnall                      |           1702 |   1902 | To Walter Scott & Middleton (contractors), White Nile Dam, Sudan by 9/1920. To Pauling & Co. Ltd. (Contractors), Park Royal, London by 1950 and transferred to Crymlyn Burrows Depot. Sold to Benjamin Hughes & Co. Ltd., Loughor, Glamorgan 2/1950 and scrapped 1964 |
|  9 | The Colonel        | 0-4-0ST                 | Bagnall                      |           1703 |   1902 | History up to and including transfer to Paulings Crymlyn Burrows Depot as Bagnall 1702. Returned to Park Royal Depot by 7/1951 and scrapped 6/1954                                                                                                                    |
| 10 | The Master General | 0-4-0ST                 | Andrew Barclay               |           1188 |   1910 | To Frank Edmunds, dealer,1922, thence to Mersey Docks & Harbour Board, Liverpool                                                                                                                                                                                      |
| 11 | George             | 0-4-0ST                 | Andrew Barclay               |           1281 |   1912 | To New Westbury Iron Co. Ltd. after 10/1921. To thurrock Chalk & Whiting Co. Ltd., Essex, 1939 and to T.W. Ward & Co. Ltd., Grays, for scrap 3/1966                                                                                                                   |
| 12 | Mary               | 0-4-0ST                 | Andrew Barclay               |           1282 |   1912 | To Pease & Partners, Stockton, 1921                                                                                                                                                                                                                                   |
| 13 | Mercury            | 0-4-0ST                 | Andrew Barclay               |           1317 |   1914 | To Frank Edmunds 1921, thence to Glasgow Iron & Steel Co. Ltd., Wishaw, Lanarks. To Pease & Partners Ltd., Normanby Ironworks, Yorks. 9/1948                                                                                                                          |
| 14 | Mars               | 0-4-0ST                 | Andrew Barclay               |           1360 |   1913 | To Thomas Ward & Co. Ltd., Sheffield, circa 1921, thence to Esholt Sewage Works, Yorks.                                                                                                                                                                               |
| 15 | Neptune            | 0-4-0ST                 | Andrew Barclay               |           1361 |   1913 | To New Westbury Iron Co. Ltd. 1920, sold to Finedon Ironestone Pits 1939                                                                                                                                                                                              |
| 16 | Jupiter            | 0-4-0ST                 | Andrew Barclay               |           1362 |   1913 | To Thomas Ward & Co. Ltd., Sheffield, circa 1921, thence to Esholt Sewage Works, Yorks.                                                                                                                                                                               |
| 17 | Saturn             | 0-4-0ST                 | Andrew Barclay               |           1371 |   1914 | To Bute Works Supply Co. Ltd., Cardiff, 1920 thence to Elba Tinplate Works, Nr. Swansea 1923; to Velindre Tinplate Works circa 1954 and scrapped circa 1958                                                                                                           |
| 18 | Undaunted          | 0-4-0ST                 | Hawthorn Leslie              |           3083 |   1914 | To G. Cohen, Sons & Co. Ltd., Canning Town for scrap 10/3/1954                                                                                                                                                                                                        |
| 19 | Liberty            | 0-4-0ST                 | Hawthorn Leslie              |           3089 |   1914 | Scrapped on site by W. Arnott Young & Co. Ltd. 8/1963                                                                                                                                                                                                                 |
| 20 | Arethusa           | 0-4-0ST                 | Hawthorn Leslie              |           3090 |   1914 | To T. Hall & Co. (Llanshamlet), dealer, 1949, thence to Stella South Power Station, Blaydon-on-Tyne 12/1952. To Blaydon Generating Station 11/1955; scrapped 1965                                                                                                     |
| 21 | Laurel             | 0-4-0ST                 | Hawthorn Leslie              |           3091 |   1914 | Disposal as Hawthorn Leslie 3083 but on 16/12/1957                                                                                                                                                                                                                    |
| 22 | Fearless           | 0-4-0ST                 | Hawthorn Leslie              |           3134 |   1915 | To Holland, Hannen & Cubitts Ltd. (Contractors), Kent, 1927 sold or scrapped after 1930                                                                                                                                                                               |
