===================Title===================
Ohio House of Representatives membership, 125th General Assembly
===================Table===================
|    | District      | Representative          | Party                                                    | Home Town, County                    | Term of Service   |
|---:|:--------------|:------------------------|:---------------------------------------------------------|:-------------------------------------|:------------------|
|  0 | 1st District  | Charles R. Blasdel      | Republican                                               | East Liverpool, Columbiana           | nan               |
|  1 | 2nd District  | Jon M. Peterson         | Republican                                               | Delaware, Delaware                   | nan               |
|  2 | 3rd District  | Jim Carmichael          | Republican                                               | Wooster, Wayne                       | nan               |
|  3 | 4th District  | John R. Willamowski     | Republican                                               | Lima, Allen                          | nan               |
|  4 | 5th District  | Tim Schaffer            | Republican                                               | Lancaster, Fairfield                 | nan               |
|  5 | 6th District  | Robert E. Latta         | Republican                                               | Bowling Green, Wood                  | nan               |
|  6 | 7th District  | Edward S. Jerse         | Democratic                                               | Euclid, Cuyahoga                     | -2005             |
|  7 | 8th District  | Lance T. Mason          | Democratic                                               | Shaker Heights, Cuyahoga             | nan               |
|  8 | 9th District  | Claudette J. Woodard    | Democratic                                               | Cleveland Heights, Cuyahoga          | nan               |
|  9 | 10th District | Shirley A. Smith        | Democratic                                               | Cleveland, Cuyahoga                  | nan               |
| 10 | 11th District | Annie L. Key            | Democratic                                               | Cleveland, Cuyahoga                  | nan               |
| 11 | 12th District | Michael DeBose          | Democratic                                               | Cleveland, Cuyahoga                  | nan               |
| 12 | 13th District | Michael J. Skindell     | Democratic                                               | Lakewood, Cuyahoga                   | nan               |
| 13 | 14th District | Dale Miller             | Democratic                                               | Cleveland, Cuyahoga                  | nan               |
| 14 | 15th District | Timothy J. DeGeeter     | Democratic                                               | Parma, Cuyahoga                      | nan               |
| 15 | 16th District | Sally Conway Kilbane    | Republican                                               | Rocky River, Cuyahoga                | nan               |
| 16 | 17th District | James Peter Trakas      | Republican                                               | Independence, Cuyahoga               | nan               |
| 17 | 18th District | Thomas F. Patton        | Republican                                               | Strongsville, Cuyahoga               | nan               |
| 18 | 19th District | Larry L. Flowers        | Republican                                               | Canal Winchester, Fairfield/Franklin | nan               |
| 19 | 20th District | Jim McGregor            | Republican                                               | Gahanna, Franklin                    | nan               |
| 20 | 21st District | Linda Reidelbach        | Republican                                               | Columbus, Franklin                   | nan               |
| 21 | 22nd District | Jim Hughes              | Republican                                               | Columbus, Franklin                   | nan               |
| 22 | 23rd District | Larry Wolpert           | Republican                                               | Hilliard, Franklin                   | nan               |
| 23 | 24th District | Geoffrey C. Smith       | Republican                                               | Columbus, Franklin                   | nan               |
| 24 | 25th District | Daniel Stewart          | Democratic                                               | Columbus, Franklin                   | nan               |
| 25 | 26th District | Larry Price             | Democratic                                               | Columbus, Franklin                   | -2005             |
| 26 | 27th District | Joyce Beatty            | Democratic                                               | Columbus, Franklin                   | nan               |
| 27 | 28th District | Jim Raussen             | Republican                                               | Springdale, Hamilton                 | nan               |
| 28 | 29th District | Patricia M. Clancy      | Republican                                               | Cincinnati, Hamilton                 | -2005             |
| 29 | 30th District | William J. Seitz        | Republican                                               | Cincinnati, Hamilton                 | nan               |
| 30 | 31st District | Steven L. Driehaus      | Democratic                                               | Cincinnati, Hamilton                 | nan               |
| 31 | 32nd District | Catherine L. Barrett    | Democratic                                               | Cincinnati, Hamilton                 | nan               |
| 32 | 33rd District | Tyrone K. Yates         | Democratic                                               | Cincinnati, Hamilton                 | nan               |
| 33 | 34th District | Tom Brinkman Jr.        | Republican                                               | Cincinnati, Hamilton                 | nan               |
| 34 | 35th District | Michelle G. Schneider   | Republican                                               | Cincinnati, Hamilton                 | nan               |
| 35 | 36th District | Arlene J. Setzer        | Republican                                               | Vandalia, Montgomery                 | nan               |
| 36 | 37th District | Jon A. Husted           | Republican                                               | Kettering, Montgomery                | nan               |
| 37 | 38th District | John J. White           | Republican                                               | Kettering, Montgomery                | nan               |
| 38 | 39th District | Dixie J. Allen          | Republican                                               | Dayton, Montgomery                   | nan               |
| 39 | 40th District | Fred Strahorn           | Democratic                                               | Dayton, Montgomery                   | nan               |
| 40 | 41st District | Marilyn Slaby           | Republican                                               | Akron, Summit                        | nan               |
| 41 | 42nd District | John Widowfield         | Republican                                               | Cuyahoga Falls, Summit               | nan               |
| 42 | 43rd District | Mary Taylor             | Republican                                               | Green, Summit                        | nan               |
| 43 | 44th District | Barbara A. Sykes        | Democratic                                               | Akron, Summit                        | nan               |
| 44 | 45th District | Robert J. Otterman      | Democratic                                               | Akron, Summit                        | nan               |
